Transcript with silence markers:
 just, 42.06, 42.28, 0.997
 500, 42.28, 42.70, 0.942
 pairs, 42.70, 43.10, 0.994
 in, 43.10, 43.32, 0.996
 a, 43.32, 43.42, 0.998
 year, 43.42, 43.68, 1.000
 to, 43.68, 44.20, 0.765
 over, 44.20, 44.56, 0.997
 50, 44.56, 45.02, 0.924
,000., 45.02, 45.54, 0.948
 If, 46.18, 46.36, 0.991
 I, 46.36, 46.54, 0.984
 have, 46.54, 46.66, 0.958
 our, 46.66, 46.76, 0.906
 own, 46.76, 46.96, 0.999
 company,, 46.96, 47.28, 0.403
 I, 47.78, 47.94, 0.998
 will, 47.94, 48.10, 0.996
 definitely, 48.10, 48.48, 0.990
 use, 48.48, 48.88, 0.999
 scarcity, 48.88, 49.24, 0.780
 marketing, 49.24, 49.82, 0.995
 to, 49.82, 50.14, 0.994
 advertise, 50.14, 50.50, 0.998
 my, 50.50, 50.80, 0.998
 products., 50.80, 51.20, 0.996

--- Pronunciation Features (Chen et al.) ---
L1: 143.5028166025877 - Summation of likelihoods of all the individual words
L2: 0.9696136256931601 - Average likelihood across all words
L3: 0.16982581846460082 - Average likelihood across all letters
L4: 3.421621759718352 - Average likelihood per second
L5: 4.347680422243801 - Average likelihood density across all words
L6: 0.21056133905959087 - L4 normalized by the rate of speech
L7: 0.2675495644457724 - L5 normalized by the rate of speech
R: 16.25 - Rate of speech: letters / total duration
S_v: 0 - Average vowel duration deviations
Sn_v: 0 - Average normalized vowel duration deviations

--- Speech Metrics (T_s, T, n, m) ---
T_s, T, n, m
52.0, 41.940000000000005, 148, 845

--- Rhythm Metrics (Word-to-Word Gaps) ---
Metric, Description, Value
percentX, 61.49999999999994
stddevX, 0.1388344337691485
varcoX, 3.1341463414634303
rpviX, 0.1781818181818189
npviX, 0.30082931826686604
avgWconf, 0.9696136256931601
stdWconf, 0.08090535054959008
minWconf, 0.40277403593063354
maxWconf, 0.9996626377105713
